alpha, beta, gamma
44.32, 191.25, 124.20
37.80, 197.77, 124.20
37.80, 197.77, 124.20
51.75, 197.77, 110.25
54.22, 195.30, 110.25
54.22, 195.30, 110.25
45.90, 195.30, 118.57
54.00, 187.20, 118.57
54.00, 187.42, 118.35
52.20, 187.42, 120.15
53.32, 186.30, 120.15
23.62, 186.30, 150.08
23.62, 187.42, 148.95
25.87, 187.42, 146.47
25.87, 277.42, 56.47
25.65, 277.65, 56.47
25.65, 274.95, 59.18
46.80, 274.95, 38.02
55.13, 266.85, 38.02
55.13, 185.40, 119.47
54.00, 185.40, 120.60
31.05, 208.35, 120.60
31.05, 299.02, 29.92
30.82, 299.25, 29.92
30.82, 92.92, 236.25
38.93, 92.92, 228.15
38.93, 294.07, 26.77
56.02, 276.98, 26.77
25.42, 276.98, 57.38
25.42, 273.60, 60.75
24.97, 273.60, 61.43
15.97, 282.38, 61.43
15.97, 105.07, 238.72
25.42, 95.62, 238.72
25.42, 97.20, 237.38
55.13, 97.20, 207.45
56.25, 96.07, 207.45
56.25, 193.50, 110.25
52.88, 193.50, 113.40
